,,"1","0000-00-00 00:00:00",
"Aa en Hunze","aaenhunze.nl","0","0000-00-00 00:00:00",
"Aa en Hunze","geo.aaenhunze.nl","0","0000-00-00 00:00:00",
"Aa en Hunze","loket.aaenhunze.nl","0","0000-00-00 00:00:00",
"Aa en Hunze","sip.aaenhunze.nl","0","0000-00-00 00:00:00",
"Aa en Hunze","web.aaenhunze.nl","0","0000-00-00 00:00:00",
"Aa en Hunze","webmail.aaenhunze.nl","0","0000-00-00 00:00:00",
"Aa en Hunze","www.aaenhunze.nl","0","0000-00-00 00:00:00",
"Aa en Hunze","www2.aaenhunze.nl","0","0000-00-00 00:00:00",
"Aalburg","aalburg.nl","0","0000-00-00 00:00:00",
"Aalburg","intranet.aalburg.nl","0","0000-00-00 00:00:00",
"Aalburg","secure.aalburg.nl","0","0000-00-00 00:00:00",
"Aalburg","www.aalburg.nl","0","0000-00-00 00:00:00",
"Aalsmeer","aalsmeer.nl","1","0000-00-00 00:00:00",
"Aalsmeer","bestuur.aalsmeer.nl","0","0000-00-00 00:00:00",
"Aalsmeer","redactie.aalsmeer.nl","0","0000-00-00 00:00:00",
"Aalsmeer","webmail.aalsmeer.nl","0","0000-00-00 00:00:00",
"Aalsmeer","www.aalsmeer.nl","0","0000-00-00 00:00:00",
"Aalten","aalten.nl","0","0000-00-00 00:00:00",
"Aalten","intranet.aalten.nl","0","0000-00-00 00:00:00",
"Aalten","mail.aalten.nl","0","0000-00-00 00:00:00",
"Aalten","secure.aalten.nl","0","0000-00-00 00:00:00",
"Aalten","simsite.aalten.nl","0","0000-00-00 00:00:00",
"Aalten","toegang.aalten.nl","0","0000-00-00 00:00:00",
"Aalten","webmail.aalten.nl","0","0000-00-00 00:00:00",
"Aalten","www.aalten.nl","0","0000-00-00 00:00:00",
"Achtkarspelen","achtkarspelen.nl","0","0000-00-00 00:00:00",
"Achtkarspelen","ftp.achtkarspelen.nl","0","0000-00-00 00:00:00",
"Achtkarspelen","mail.achtkarspelen.nl","0","0000-00-00 00:00:00",
"Achtkarspelen","portaal.achtkarspelen.nl","0","0000-00-00 00:00:00",
"Achtkarspelen","ruimtelijkeplannen.achtkarspelen.nl","0","0000-00-00 00:00:00",
"Achtkarspelen","secure.achtkarspelen.nl","0","0000-00-00 00:00:00",
"Achtkarspelen","simsite.achtkarspelen.nl","0","0000-00-00 00:00:00",
"Achtkarspelen","www.achtkarspelen.nl","0","0000-00-00 00:00:00",
"Alblasserdam","alblasserdam.nl","1","0000-00-00 00:00:00",
"Alblasserdam","loket.alblasserdam.nl","0","0000-00-00 00:00:00",
"Alblasserdam","ro.alblasserdam.nl","0","0000-00-00 00:00:00",
"Alblasserdam","webmail.alblasserdam.nl","0","0000-00-00 00:00:00",
"Alblasserdam","www.alblasserdam.nl","0","0000-00-00 00:00:00",
"Albrandswaard","albrandswaard.nl","0","0000-00-00 00:00:00",
"Albrandswaard","intranet.albrandswaard.nl","0","0000-00-00 00:00:00",
"Albrandswaard","mail.albrandswaard.nl","0","0000-00-00 00:00:00",
"Albrandswaard","portaal.albrandswaard.nl","0","0000-00-00 00:00:00",
"Albrandswaard","raad.albrandswaard.nl","0","0000-00-00 00:00:00",
"Albrandswaard","secure.albrandswaard.nl","0","0000-00-00 00:00:00",
"Albrandswaard","www.albrandswaard.nl","0","0000-00-00 00:00:00",
"Alkmaar","alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","extranet.alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","extranet.graftderijp.nl","0","0000-00-00 00:00:00",
"Alkmaar","gemeenteraad.alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","graftderijp.nl","0","0000-00-00 00:00:00",
"Alkmaar","intranet.graftderijp.nl","0","0000-00-00 00:00:00",
"Alkmaar","intranet.schermer.nl","0","0000-00-00 00:00:00",
"Alkmaar","mail.graftderijp.nl","0","0000-00-00 00:00:00",
"Alkmaar","pers.alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","raad.alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","schermer.nl","0","0000-00-00 00:00:00",
"Alkmaar","secure.graftderijp.nl","0","0000-00-00 00:00:00",
"Alkmaar","secure.schermer.nl","0","0000-00-00 00:00:00",
"Alkmaar","simsite.graftderijp.nl","0","0000-00-00 00:00:00",
"Alkmaar","simsite.schermer.nl","0","0000-00-00 00:00:00",
"Alkmaar","sip.alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","telewerken.alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","webmail.alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","webmail.graftderijp.nl","0","0000-00-00 00:00:00",
"Alkmaar","www.alkmaar.nl","0","0000-00-00 00:00:00",
"Alkmaar","www.graftderijp.nl","0","0000-00-00 00:00:00",
"Alkmaar","www.schermer.nl","0","0000-00-00 00:00:00",
"Almelo","afspraken.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","almelo.nl","0","0000-00-00 00:00:00",
"Almelo","intranet.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","mail.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","portaal.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","resetww.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","ris.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","ruimtelijkeplannen.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","secure.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","simsite.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","sip.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","sites.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","subsidie.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","webmail.almelo.nl","0","0000-00-00 00:00:00",
"Almelo","www.almelo.nl","0","0000-00-00 00:00:00",
"Almere","almere.nl","0","0000-00-00 00:00:00",
"Almere","citrix.almere.nl","0","0000-00-00 00:00:00",
"Almere","formulieren.almere.nl","0","0000-00-00 00:00:00",
"Almere","gemeente.almere.nl","0","0000-00-00 00:00:00",
"Almere","gemeenteraad.almere.nl","0","0000-00-00 00:00:00",
"Almere","kaart.almere.nl","0","0000-00-00 00:00:00",
"Almere","loket.almere.nl","0","0000-00-00 00:00:00",
